id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47632,2017-03-11 00:00:00,Abandoned,0,C17031639,981020021818036,Evan,DSH/Unknown,Brown,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-04-18 00:00:00,Stray,,Died in care,0,0,0
47632,2017-03-11 00:00:00,Abandoned,0,C17031639,981020021818036,Evan,DSH/Unknown,Brown,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-18 00:00:00,Foster,0,2017-05-10 00:00:00,Stray,,Died in care,0,0,0
47632,2017-03-11 00:00:00,Abandoned,0,C17031639,981020021818036,Evan,DSH/Unknown,Brown,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-11 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47633,2017-03-11 00:00:00,Abandoned,0,C17031640,981020021837935,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 0 months.,Female,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-11 00:00:00,Stray,,Died in care,0,0,0
47633,2017-03-11 00:00:00,Abandoned,0,C17031640,981020021837935,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 0 months.,Female,Feline Nursery,2017-05-16 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47634,2017-03-11 00:00:00,Abandoned,0,C17031641,981020021818926,Dusty,Domestic Short Hair,Seal,Cat,1 year 0 months.,Female,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-02 00:00:00,Stray,,Died in care,0,0,0
47634,2017-03-11 00:00:00,Abandoned,0,C17031641,981020021818926,Dusty,Domestic Short Hair,Seal,Cat,1 year 0 months.,Female,Feline Nursery,2017-05-04 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47635,2017-03-11 00:00:00,Abandoned,0,C17031642,981020021805083,Ed,Domestic Short Hair,Black and White,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-02 00:00:00,Stray,,Died in care,0,0,0
47635,2017-03-11 00:00:00,Abandoned,0,C17031642,981020021805083,Ed,Domestic Short Hair,Black and White,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47636,2017-03-11 00:00:00,Abandoned,0,C17031643,981020021824312,Tux,Domestic Short Hair,Black and White,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-02 00:00:00,Stray,,Died in care,0,0,0
47636,2017-03-11 00:00:00,Abandoned,0,C17031643,981020021824312,Tux,Domestic Short Hair,Black and White,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-04 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47637,2017-03-11 00:00:00,Abandoned,0,C17031644,981020021814469,Trouble,Domestic Short Hair,White,Cat,1 year 0 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster,0,2017-05-02 00:00:00,Stray,,Died in care,0,0,0
47637,2017-03-11 00:00:00,Abandoned,0,C17031644,981020021814469,Trouble,Domestic Short Hair,White,Cat,1 year 0 months.,Male,Feline Nursery,2017-05-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47638,2017-03-11 00:00:00,Abandoned,0,C17031645,981020021800503,Samantha,Domestic Short Hair,Black and White,Cat,3 years 11 months.,Female,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster,0,2017-04-24 00:00:00,Stray,,Died in care,0,0,0
47638,2017-03-11 00:00:00,Abandoned,0,C17031645,981020021800503,Samantha,Domestic Short Hair,Black and White,Cat,3 years 11 months.,Female,Adoptable Cat Kennels,2017-05-06 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47639,2017-03-11 00:00:00,Abandoned,0,D17031646,981020021053332,Apollo,Labrador Retriever/Mix,Black,Dog,1 year 9 months.,Male,Adoptable Dogs,2017-03-31 00:00:00,Adoption,0,2017-04-01 00:00:00,Incompatible,,Died in care,0,0,0
47639,2017-03-11 00:00:00,Abandoned,0,D17031646,981020021053332,Apollo,Labrador Retriever/Mix,Black,Dog,1 year 9 months.,Male,Adoptable Dogs,2017-04-02 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47639,2017-03-11 00:00:00,Abandoned,0,D17031646,981020021053332,Apollo,Labrador Retriever/Mix,Black,Dog,1 year 9 months.,Male,Adoptable Dogs,,None,0,2017-04-01 00:00:00,Stray,,Died in care,0,0,0
"47654,2017-03-14 00:00:00,Abandoned,0,R17031661,"""",Hops,American Sable/American,Black,Rabbit,2 years 0 months.,Female,Foster,2017-04-04 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0"
47659,2017-03-14 00:00:00,Abandoned,0,C17031666,981020021056387,Earl,Domestic Medium Hair,White,Cat,1 year 7 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47661,2017-03-15 00:00:00,Abandoned,0,C17031668,981020021050458,Conner,Domestic Short Hair,Black,Cat,3 years 0 months.,Male,Adoptable Cat Big Colony,2017-04-26 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
47662,2017-03-15 00:00:00,Abandoned,0,D17031669,981020021056520,Carol,Shep Mix/Great Dane,Black and Brown,Dog,6 years 2 months.,Female,Adoptable Dogs,2017-04-01 00:00:00,Adoption,0,,Stray,,Died in care,0,0,0
